lsoa11,ah3h,ah3g,ah3e,ah3r,ah3ahah
E01000072,-0.799979113,-0.445605712,1.820333991,1.007428597,33.78711924
E01000073,-0.998166305,-0.26318124,1.747621953,0.913377096,32.63660851
E01000074,-1.236614426,-0.349351914,1.747621953,0.5659418,29.07703935
E01000075,-0.764160765,-0.957250821,1.697652034,0.21808783,25.2719753
E01000076,-0.893437526,-0.503276749,1.945920028,0.748071636,32.34427561
E01000077,-0.78081915,0.150171913,1.56784872,0.703095243,31.81892643
E01000078,-0.747023086,0.363416897,1.616603479,0.966616764,36.70647072
E01000079,-0.740938966,0.370342673,1.706607012,0.396895363,33.06113649
E01000080,-0.469998764,0.242967164,1.698396756,0.514114188,33.35268533
E01000081,-0.494395676,0.472316983,1.70121942,0.548451041,35.93234408
E01000082,-1.170414924,0.390562072,1.654602482,0.972585223,36.71326955
E01000083,-1.049757626,0.006128139,1.56784872,0.937131173,32.28059565
E01000084,-1.046740243,0.165919102,1.797142179,1.165408118,38.10557223
E01000085,-1.076830364,0.382760512,1.823005432,1.4708984,43.5794381
E01000086,-0.85565043,0.437586448,1.697176994,1.005821202,38.44862607
E01000087,-0.605090222,0.203379361,1.822699679,1.127300516,39.13149258
E01000088,-0.56250771,-0.04862375,1.823005432,0.737480242,33.87986585
E01000089,-0.244138639,-0.383864777,1.919793772,0.106169161,29.76247959
E01000090,-0.344344421,0.058259795,1.762286179,0.06118235,30.06618344
E01000091,-0.180913049,0.157138093,1.427742345,0.472732167,30.28060748
E01000092,0.505024482,0.251990741,1.636570015,-0.518553819,33.18553716
E01000093,-1.307977509,0.038176149,1.839250286,0.94151313,35.10981866
E01000094,0.281957841,0.565606257,1.427742345,-0.025735644,34.26632088
E01000095,0.595262418,0.689838916,1.521930093,-0.561573439,37.55926665
E01000096,0.553399358,0.934076377,1.427742345,-0.175805592,41.52424854
E01000097,-0.95524301,-0.07350976,1.54074759,0.593059986,28.63770953
E01000098,-1.147501103,-0.097253533,1.54074759,1.055061855,32.2149366
E01000099,-0.796243246,0.326592398,1.567880681,0.538796292,32.08311366
E01000100,-1.001317393,-0.086653978,1.600045044,1.01475997,32.82497931
E01000101,-1.359802385,0.190425244,1.600045044,1.080261192,35.06031565
E01000102,-0.897705238,0.100248445,1.586510321,0.878722226,32.9174849
E01000103,-0.033067369,-0.229015562,1.846918683,0.114809369,30.86106757
E01000104,-0.105348094,0.066165194,1.661269737,0.562054824,33.37116496
E01000105,-0.95643103,0.554095721,1.869348848,1.19315344,43.16298343
E01000106,-0.978539619,0.102546704,1.763951311,0.585210216,32.35025417
E01000107,-0.263958722,-0.671603579,1.653487597,0.249709089,27.04513333
E01000108,-0.568211849,-0.074962806,1.718084872,1.034866285,35.24602929
E01000109,-0.377188654,0.676255225,1.591926628,0.337980098,36.25156097
E01000110,-0.508923658,0.871072449,1.395935965,0.483457282,37.69903086
E01000111,-0.418217618,0.649327384,1.47578781,0.731177001,37.30154068
E01000112,-0.98660968,0.907353484,1.543819897,1.240076951,45.6476285
E01000113,-0.917900691,0.81632889,1.536520082,2.000596978,51.90768606
E01000114,-0.807831896,0.607802537,1.503196521,1.144936077,39.65698588
E01000115,-0.716791964,0.178837392,0.872923243,0.504754911,23.37791552
E01000116,-0.504338698,0.402554345,1.000279742,0.543783345,27.53307585
E01000117,-0.383157661,0.497256564,0.934134411,0.421385437,27.47510578
E01000118,-0.262225498,0.627664148,0.980288355,0.327812358,29.38363865
E01000119,-0.830941721,0.199906634,1.078074995,0.921311445,28.57277115
E01000120,-0.76069417,0.531572738,0.985804136,0.892705354,31.1048877
E01000121,0.140360392,0.439601724,1.061814933,-0.192179745,27.08188563
E01000122,-0.072451346,-0.149913607,1.219605586,0.323372262,25.45984519
E01000123,0.067180398,0.115937717,1.181988446,0.277850938,27.35709586
E01000124,-0.422999529,0.794837317,1.095643813,0.633790267,34.65681449
E01000125,-0.700219398,0.993536069,1.010657461,0.482345441,35.41653334
E01000126,-0.132468369,0.727760876,1.090344731,0.062293871,30.83235622
E01000127,-1.196880258,0.45850969,1.040280804,0.634771587,27.84107642
E01000128,-0.737964957,0.388557714,1.090344731,0.806085544,29.7010655
E01000129,-0.988147777,0.87573317,1.027340671,1.568324866,43.05702005
E01000130,-0.821257772,0.597843405,1.132460974,0.405000041,29.19132768
E01000131,-0.627701274,0.700574664,1.052487228,0.703930903,32.75591399
E01000132,-1.107413435,0.84455537,1.169348256,0.769749583,35.80720303
E01000133,-0.748878907,0.644135536,1.169348256,0.54297865,31.40267432
E01000134,-0.716126507,0.601192489,1.001655678,0.407511082,28.28845075
E01000135,-0.946939579,0.585290199,1.34346312,0.598604049,32.59868928
E01000136,-0.739813047,-0.12495577,1.319089535,0.804848908,28.02449292
E01000137,-1.471304823,0.639833809,1.313767916,0.528100037,31.87539287
E01000138,-0.533598863,0.778828029,1.345050533,-0.019412879,32.3222678
E01000139,-1.224840678,0.4841532,1.328992448,0.369065522,29.08967003
E01000140,-1.678641793,0.83652287,1.313767916,0.708287938,36.320615
E01000141,-1.140075592,1.23817272,1.356896057,1.389726776,50.9970312
E01000142,-1.056820546,0.933110335,1.356896057,0.515177855,37.49626971
E01000143,-0.778299241,0.934944902,1.360686715,0.588174082,38.65077457
E01000144,-2.083157995,0.881452696,1.382948011,1.597851401,46.43090386
E01000145,-1.287906993,0.793842979,1.424980103,0.707361651,37.06315087
E01000146,-2.007763311,1.059899083,1.3819094,2.097037435,54.63134573
E01000147,-1.373579138,0.688069341,1.042393224,0.695768576,31.2047152
E01000148,-1.048403885,0.975554728,1.005681965,0.789677467,36.92089671
E01000150,-0.872873424,0.543610746,1.065547511,0.355599949,27.37685905
E01000151,0.022639984,0.811408891,1.136229728,0.096261775,33.65774596
E01000152,0.236978565,1.110814386,1.190751189,0.187238036,41.79733211
