2021 super output area - lower layer,mnemonic,Total: All usual residents aged 16 years and over in employment the week before the census,%,Less than 2km,%,2km to less than 5km,%,5km to less than 10km,%,10km to less than 20km,%,20km to less than 30km,%,30km to less than 40km,%,40km to less than 60km,%,60km and over,%,Works mainly from home,%,"Works mainly at an offshore installation, in no fixed place, or outside the UK",%
Bradford 064A,E01033693,950,100,187,19.7,195,20.5,75,7.9,98,10.3,31,3.3,13,1.4,20,2.1,10,1.1,203,21.4,118,12.4
Bradford 064B,E01010617,390,100,80,20.5,79,20.3,26,6.7,40,10.3,15,3.8,4,1,8,2.1,8,2.1,65,16.7,65,16.7
Bradford 064C,E01010607,671,100,133,19.8,133,19.8,43,6.4,86,12.8,18,2.7,8,1.2,25,3.7,5,0.7,113,16.8,107,15.9
Bradford 064D,E01033692,560,100,82,14.6,100,17.9,35,6.2,39,7,2,0.4,3,0.5,4,0.7,7,1.2,230,41.1,58,10.4
Bradford 064E,E01010606,553,100,127,23,146,26.4,35,6.3,58,10.5,13,2.4,3,0.5,17,3.1,10,1.8,60,10.8,84,15.2
Bradford 065A,E01010842,624,100,130,20.8,119,19.1,31,5,60,9.6,19,3,4,0.6,8,1.3,14,2.2,122,19.6,117,18.8
Bradford 065B,E01033691,844,100,181,21.4,181,21.4,61,7.2,76,9,14,1.7,5,0.6,12,1.4,7,0.8,223,26.4,84,10
Bradford 065C,E01033690,994,100,162,16.3,232,23.3,71,7.1,99,10,10,1,9,0.9,3,0.3,15,1.5,316,31.8,77,7.7
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,"In order to protect against disclosure of personal information, records",,,,,,,,,,,,,,,,,,,,,,
,have been swapped between different geographic areas and counts perturbed,,,,,,,,,,,,,,,,,,,,,,
,by small amounts. Small counts at the lowest geographies will be most,,,,,,,,,,,,,,,,,,,,,,
,affected.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Census 2021 took place during a period of rapid change. We gave extra,,,,,,,,,,,,,,,,,,,,,,
,guidance,,,,,,,,,,,,,,,,,,,,,,
,"to help people on furlough answer the census questions about work. However,",,,,,,,,,,,,,,,,,,,,,,
,we,,,,,,,,,,,,,,,,,,,,,,
,are unable to determine how furloughed people followed the guidance. Take,,,,,,,,,,,,,,,,,,,,,,
,care,,,,,,,,,,,,,,,,,,,,,,
,when using this data for planning purposes. Read more about specific,,,,,,,,,,,,,,,,,,,,,,
,quality,,,,,,,,,,,,,,,,,,,,,,
,considerations in our,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/methodologies/traveltoworkqualityinformationforcensus2021,,,,,,,,,,,,,,,,,,,,,,
