LSOA code,number of crimes,crime_rate(%)
E01010796,197,0.2403582191530118
E01010797,126,0.15373165285928672
E01010798,229,0.2794011786093386
E01010799,221,0.2696404387452569
E01010800,311,0.37944876221617596
E01010801,282,0.34406608020887985
E01010802,319,0.38920950208025773
E01010803,262,0.3196642305486756
E01010804,146,0.17813350251949098
E01010805,456,0.5563621722526567
E01010806,472,0.5758836519808201
E01010807,339,0.41361135174046193
E01010808,186,0.22693720183989946
E01010809,315,0.38432913214821685
E01010810,170,0.20741572211173606
E01010811,66,0.080526103878674
E01010812,265,0.32332450799770623
E01010813,445,0.5429411549395444
E01010814,593,0.7235148424250558
E01010815,544,0.6637303107575554
E01010816,257,0.3135637681336245
E01010817,460,0.5612425421846976
E01010818,266,0.3245446004807165
E01010819,509,0.621027073852198
E01010820,288,0.3513866351069411
E01010821,608,0.741816229670209
E01010822,334,0.40751088932541085
E01010824,532,0.649089200961433
E01010825,170,0.20741572211173606
E01010826,445,0.5429411549395444
E01010827,180,0.2196166469418382
E01010828,320,0.39042959456326787
E01010829,269,0.32820487792974706
E01010830,682,0.8321030734129647
E01010831,290,0.35382682007296157
E01010832,325,0.396530056978319
E01010833,737,0.8992081599785264
E01010834,1353,1.6507851295128173
E01010835,237,0.2891619184734203
E01010836,274,0.33430534034479814
E01010837,210,0.25621942143214455
E01010838,276,0.3367455253108186
E01010839,460,0.5612425421846976
E01010840,272,0.3318651553787777
E01010841,233,0.28428154854137944
E01010842,574,0.7003330852478618
E01010843,162,0.19765498224765438
E01010845,461,0.5624626346677079
E01010846,279,0.34040580275984916
E01010847,271,0.3306450628957675
E01010848,156,0.1903344273495931
E01010849,125,0.15251156037627653
E01010850,380,0.4636351435438806
E01010851,373,0.45509449616280917
E01010852,148,0.1805736874855114
E01010853,89,0.10858823098790887
E01010854,160,0.19521479728163393
E01010855,138,0.1683727626554093
E01010856,270,0.3294249704127573
E01010857,140,0.1708129476214297
E01010858,122,0.1488512829272459
E01010859,105,0.12810971071607227
E01010860,118,0.14397091299520504
E01010861,76,0.09272702870877612
E01010862,112,0.13665035809714376
E01010863,94,0.11468869340295995
E01010864,208,0.25377923646612416
E01010865,172,0.2098559070777565
E01010866,188,0.2293773868059199
E01010867,368,0.4489940337477581
E01010868,292,0.35626700503898195
E01010869,247,0.3013628433035224
E01010870,113,0.13787045058015396
E01010871,296,0.3611473749710228
E01010872,386,0.47095569844194196
E01010873,124,0.1512914678932663
E01010874,281,0.3428459877258696
E01033689,607,0.7405961371871989
E01033690,3294,4.018984639035638
E01033691,1064,1.298178401922866
E01033692,456,0.5563621722526567
E01033693,957,1.167628506240773
E01033694,123,0.15007137541025609
E01033695,151,0.18423396493454205
E01033696,158,0.19277461231561352
E01033697,280,0.3416258952428594
E01033900,1,0.0012200924830102122
